valid,init,lead_h,param,bias,mae,rmse
2026-08-28T06:00:00,2026-08-27T06:00:00,24,2t,0.0654,0.5074,0.7860
2026-08-28T06:00:00,2026-08-27T06:00:00,24,t_850,0.0074,0.4762,0.7006
2026-08-28T06:00:00,2026-08-27T06:00:00,24,msl,0.3741,39.2564,59.4439
2026-08-28T06:00:00,2026-08-27T06:00:00,24,z_500,1.9037,27.8092,39.1851
2026-08-29T06:00:00,2026-08-28T06:00:00,24,2t,0.0641,0.5065,0.7676
2026-08-29T06:00:00,2026-08-28T06:00:00,24,t_850,0.0031,0.4727,0.6839
2026-08-29T06:00:00,2026-08-28T06:00:00,24,msl,-1.1273,39.0171,58.1645
2026-08-29T06:00:00,2026-08-28T06:00:00,24,z_500,-3.1777,28.6454,38.9430
2026-08-30T06:00:00,2026-08-29T06:00:00,24,2t,0.0443,0.4945,0.7425
2026-08-30T06:00:00,2026-08-29T06:00:00,24,t_850,-0.0355,0.4724,0.6865
2026-08-30T06:00:00,2026-08-29T06:00:00,24,msl,-5.1873,40.1024,58.9892
2026-08-30T06:00:00,2026-08-29T06:00:00,24,z_500,-5.3360,29.5259,41.0589
